system:index,NDVI,month,year,.geo
0,0.1312675525183932,1.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.14698539610930436,2.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.1746664171035439,3.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.20788554312810778,4.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.2789450457976675,5.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.3336792398204952,6.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.36126541161140474,7.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.30392086111394784,8.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.2332106820936411,9.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.2350103419664848,10.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.20671088434912332,11.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.15639458407964402,12.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.1569046837192347,1.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.15022339030587584,2.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.1668562363629623,3.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.23388271655658893,4.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.26652716990396425,5.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.3365982833097783,6.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.29349698287365633,7.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.3474756834646391,8.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.2708570507954509,9.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.24255084974416224,10.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.17485063530428438,11.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.17902290692780862,12.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.1597102087619473,1.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.15919716617939145,2.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.17563554445151044,3.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.19892381642144505,4.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.2563476215624715,5.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.2729795769167144,6.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.29450281640329756,7.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.28241998465571383,8.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.30251499534109605,9.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.24987823817150104,10.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0.205697321842797,11.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0.16456504665422655,12.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0.15267237818254004,1.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0.16455684152617225,2.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0.18244576455458397,3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0.18521819472564743,4.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0.26630737320609327,5.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0.30622563554735704,6.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0.32132500946962744,7.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0.24982988899752961,8.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0.2527249713079963,9.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0.2730229809229137,10.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,0.202172360646676,11.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,0.17503608658517045,12.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0.1591136772004491,1.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0.1759583899051473,2.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0.1833099693027395,3.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0.21776266606601527,4.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,0.31744315227426056,5.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,0.3239612119677881,6.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,0.28068910352086923,7.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,0.2980268911696849,8.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,0.31293949173931734,9.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,0.2493736050594953,10.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,0.16992248344946317,11.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,0.1650850729875766,12.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,0.14123272064060913,1.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,0.14888428556086503,2.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,0.17728355587357703,3.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,0.2326369023618853,4.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,0.2876577970798931,5.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,0.32457615016142716,6.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,0.3066666778348851,7.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,0.30884716110106925,8.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,0.2790840617607356,9.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,0.2326506395074475,10.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,0.18256160594338247,11.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,0.17116138956848148,12.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,0.1576062327908524,1.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,0.16170369085556144,2.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,0.17712315025667305,3.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,0.21311460686301578,4.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,0.29896643147434265,5.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,0.280012832512968,6.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,0.31836006782904047,7.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,0.3020364356176562,8.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,0.29048268055169724,9.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,0.2414308399568029,10.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,0.19535847449133822,11.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,0.16475876806966713,12.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
