year,month,NDVI,EVI,Rainfall,Temperature,Fire,BloomStage,time,Pressure_api,BloomStage_Pred,BloomClass_Multi,BloomClass_Multi_Pred
2019,1,0.1346265465590736,1935.2503131597407,88.85353485608056,281.4066905025543,,0.0134588318085854,2019-01-16 11:30:00.000000000,933.1680107526881,0.004697343420126629,1,1
2019,2,0.1785772980939929,2489.09821164672,128.9236363420343,278.5868969659455,,0.1343631245601685,2019-02-14 23:30:00.000000000,928.9398809523809,0.11377827234341992,1,1
2019,3,0.1502806450765152,3137.7335415200487,58.05369423023991,283.47795503206834,,0.0080172413793103,2019-03-16 11:30:00.000000000,930.8634408602151,0.045962121745249725,1,1
2019,4,0.1878009977468521,2532.880440710758,13.008125259568358,288.7699591855836,,0.0888669950738913,2019-04-15 23:30:00.000000000,929.6320833333333,0.09290274454609397,1,1
2019,5,0.1399066369363051,1794.6516520056246,13.753652361162386,287.53445490494045,,0.0129433497536945,2019-05-16 11:30:00.000000000,926.8680107526882,0.015226759324419348,1,1
2019,6,0.1322743200731671,1671.9383849401772,1.3764436016676886,295.97897706490016,,0.0177515833919774,2019-06-15 23:30:00.000000000,929.0651388888889,0.011374630541871851,1,1
2019,7,0.1284231854984265,1690.7830110837383,0.0,298.3251429281962,,0.0087139338494018,2019-07-16 11:30:00.000000000,930.7194892473119,0.010022273047149843,1,1
2019,8,0.1277458933455882,1655.4893464109732,0.3937690852310843,298.58370719211496,,0.0019897959183673,2019-08-16 11:30:00.000000000,930.358870967742,0.00771586910626314,1,1
2019,9,0.1292728270382145,1615.8213801900024,4.705682189813123,294.95432768857296,,0.0008972554539056974,2019-09-15 23:30:00.000000000,929.5970833333333,0.007660168895144228,1,1
2019,10,0.1242444464391679,1540.6275334271584,1.6621421110076322,288.95443577051566,,0.0,2019-10-16 11:30:00.000000000,930.6493279569892,0.0064508972554538704,0,0
2019,11,0.1211320991338903,1548.7157406755755,46.98423875800314,284.82792807534054,,0.0,2019-11-15 23:30:00.000000000,930.0279166666667,0.003635679099225866,0,0
2019,12,0.0099156063977987,1712.9943877550977,103.91372929142828,279.6180648835376,,0.0,2019-12-16 11:30:00.000000000,932.0932795698925,0.005119862772695256,0,0
2020,1,0.1487522334833332,1958.8947800844403,15.560417978008475,280.8390110740146,,0.0016819141449683,2020-01-16 11:30:00.000000000,933.805376344086,0.003942012667135775,1,1
2020,2,0.1528066146885874,2144.939701794505,13.423087272275726,283.6229520072619,,0.0030277973258268,2020-02-15 11:30:00.000000000,932.380316091954,0.004148258268824706,1,1
2020,3,0.1261673533972563,2432.967343420118,82.39273038176856,282.34467744927707,,0.0137948627726952,2020-03-16 11:30:00.000000000,930.23561827957,0.010620689655172329,1,1
2020,4,0.219174049507582,3078.444055242779,69.59619535706877,286.88904175524107,,0.2453061224489788,2020-04-15 23:30:00.000000000,929.9575,0.2844293983110481,1,1
2020,5,0.1643204187657312,2147.057699683316,4.401508124331851,292.5878483413496,,0.0210573539760731,2020-05-16 11:30:00.000000000,929.6271505376344,0.027832916959887228,1,1
2020,6,0.1465892618566938,1876.2402814919008,1.6996571238344145,295.2485411908256,,0.0169809992962701,2020-06-15 23:30:00.000000000,929.0752777777777,0.014969176636171618,1,1
2020,7,0.1392291926016751,1790.2379503870466,0.917575312359838,296.9110853565365,,0.0051301900070372,2020-07-16 11:30:00.000000000,929.935752688172,0.011914426460239184,1,1
2020,8,0.1310847756853303,1702.938394616462,2.2227805523923454,29.30766129032258,227.52707745058493,0.0,2020-08-16 11:30:00.000000000,929.9072580645161,0.0004512315270935926,0,0
2020,9,0.1281211035773887,1638.778510731873,3.694708170928547,27.33694444444444,,0.0,2020-09-15 23:30:00.000000000,931.5804166666667,0.0004204433497536925,0,0
2020,10,0.1257130306599464,1626.5368296973918,4.866220912022284,21.76854838709677,,0.0,2020-10-16 11:30:00.000000000,931.4225806451614,0.00013328641801548145,0,0
2020,11,0.1203322347658561,1545.6156491907052,18.470769026231583,12.915138888888889,,0.0,2020-11-15 23:30:00.000000000,932.3433333333332,8.972554539056975e-06,0,0
2020,12,0.1093604934615008,1475.5942496481305,25.8271687601922,8.816935483870967,,0.0,2020-12-16 11:30:00.000000000,934.3313172043011,0.0007762315270935858,0,0
2021,1,0.0530610607790399,1530.4149859254,25.67495236674295,8.993682795698925,,0.0,2021-01-16 11:30:00.000000000,932.4052419354839,3.1403940886699e-05,0,0
2021,2,0.135438505010456,1840.5713309289176,12.280997907993711,10.336458333333335,,0.0,2021-02-14 23:30:00.000000000,931.9994047619048,0.00025862068965516895,0,0
2021,3,0.1321743848245,1707.0877278325056,20.966622072918813,10.91518817204301,,0.0,2021-03-16 11:30:00.000000000,931.1461021505376,0.000161189303307528,0,0
2021,4,0.1123528491813924,1459.6372528149136,7.810779197702591,17.187916666666666,,0.0,2021-04-15 23:30:00.000000000,929.1084722222222,6.4989444053483e-05,0,0
2021,5,0.1056441573863537,1377.2632521111857,0.2704074376339135,20.68588709677419,123.0,0.0,2021-05-16 11:30:00.000000000,928.8170698924731,0.0010483638282899291,0,0
2021,6,0.1029494695120306,1339.7100906052042,1.635499885255998,26.762916666666666,163.0,0.0,2021-06-15 23:30:00.000000000,928.7723611111111,0.00102324067558057,0,0
2021,7,0.1027451392093356,1342.126681034479,1.1569770481431632,29.429973118279573,,0.0,2021-07-16 11:30:00.000000000,930.9614247311829,0.000344897959183671,0,0
2021,8,0.1039211212019291,1340.0633295214598,0.38822291325214,27.83279569892473,,0.0,2021-08-16 11:30:00.000000000,929.3775537634409,0.0005890570021111846,0,0
2021,9,0.100665904074051,1344.2130497888768,3.7750154111009366,25.24,,0.0,2021-09-15 23:30:00.000000000,930.5633333333333,1.5693173821252592e-05,0,0
2021,10,0.1064299265945551,1367.4533532723397,18.70167579007598,16.351344086021506,,0.0,2021-10-16 11:30:00.000000000,930.6669354838709,0.0,0,0
2021,11,0.1054660401015194,1373.707058409566,10.710306861554924,15.568194444444446,,0.0,2021-11-15 23:30:00.000000000,934.3515277777777,0.0007960239268120918,0,0
2021,12,0.0069735090930675,1423.2807433145629,73.87884221421905,8.28225806451613,,0.0,2021-12-16 11:30:00.000000000,930.2165322580645,0.000169352568613651,0,0
2022,1,0.1509221536211565,1939.3537983814144,14.593912862405858,8.570564516129032,,0.0052568613652357,2022-01-16 11:30:00.000000000,934.8342741935484,0.003416819141449647,1,1
2022,2,0.0663179730972611,2419.646941414488,14.43335337095655,9.989434523809523,,0.0031403940886699,2022-02-14 23:30:00.000000000,934.2035714285715,0.0038178043631245167,1,0
2022,3,0.1024381485793777,2456.9704213581917,60.92584513348805,13.740994623655913,,0.0,2022-03-16 11:30:00.000000000,931.4504032258064,0.0038833743842364332,0,0
2022,4,0.1530407231671037,1909.812558057699,13.521367851330432,16.474722222222223,,0.0052568613652357,2022-04-15 23:30:00.000000000,929.647638888889,0.0017932090077410106,1,1
2022,5,0.1267910730187435,1632.3524665728316,0.7344480245701426,20.08427419354839,,0.0064989444053483,2022-05-16 11:30:00.000000000,928.5803763440861,0.00464521463757914,1,1
2022,6,0.120059337130145,1581.7103562631903,2.207221228512425,26.03625,,0.0,2022-06-15 23:30:00.000000000,929.2566666666668,1.7945109078113948e-05,0,0
2022,7,0.1168521807810915,1483.911541168187,0.0,28.220967741935485,,0.0,2022-07-16 11:30:00.000000000,930.6775537634409,0.0010381597466572717,0,0
2022,8,0.1148922962182375,1506.438727128779,0.4548148120238179,29.548655913978497,,0.0,2022-08-16 11:30:00.000000000,930.6666666666666,0.00045510204081632193,0,0
2022,9,0.10808926575922,1510.9970504926064,14.920758823831616,25.855277777777776,,0.0,2022-09-15 23:30:00.000000000,929.6616666666667,6.720619282195616e-06,0,0
2022,10,0.1161910117765062,1453.5300985221622,2.0891071251175197,20.160887096774193,,0.0,2022-10-16 11:30:00.000000000,931.2377688172044,5.3835327234341846e-05,0,0
2022,11,0.1211141573554944,1588.1614532019646,29.113897622745583,9.61736111111111,,0.0,2022-11-15 23:30:00.000000000,932.3952777777778,8.972554539056975e-06,0,0
2022,12,0.1420046130103927,1954.0748029556576,48.56310059727602,7.915591397849462,,0.0152533427163968,2022-12-16 11:30:00.000000000,932.0451612903225,0.001088722730471488,1,1
2023,1,0.1405076385866079,2635.5749489795835,136.11580839968477,6.948521505376344,,0.1022871217452495,2023-01-16 11:30:00.000000000,931.2190860215054,0.07338418367346926,1,1
2023,2,0.1049014966133493,2957.80181034482,65.6559221171859,7.0148809523809526,,0.0143560872624911,2023-02-14 23:30:00.000000000,931.098363095238,0.08659660450387036,1,1
2023,3,0.1589451971638487,3479.13488036593,100.20880062507258,8.161693548387097,,0.1898610133708649,2023-03-16 11:30:00.000000000,929.6336021505376,0.06574713230119618,1,1
2023,4,0.2400543597950491,2940.540466220963,12.4027740379188,15.837361111111111,,0.4594757213230105,2023-04-15 23:30:00.000000000,929.9697222222221,0.3755654644616453,1,1
2023,5,0.1489670736577477,2099.6047220267355,3.386260808681945,17.730510752688172,,0.0035890218156227,2023-05-16 11:30:00.000000000,928.325806451613,0.003398416608022447,1,1
2023,6,0.122576286661629,1880.145413441233,0.3942824433635933,19.559166666666666,,0.0,2023-06-15 23:30:00.000000000,928.19,0.0014930506685432638,0,1
2023,7,0.1397684682174506,1769.2304890921832,0.2004885274530459,29.39018817204301,,0.0004486277269528487,2023-07-16 11:30:00.000000000,930.496370967742,0.0017542751583391825,1,1
2023,8,0.150120319406679,2114.5981359957723,11.865214253086815,25.612365591397847,,0.0008972554539056974,2023-08-16 11:30:00.000000000,930.4268817204301,0.0015277797325826757,1,1
2023,9,0.0639214242442838,2375.134802075996,7.59742630977095,21.685555555555556,,0.0,2023-09-15 23:30:00.000000000,929.6411111111111,0.002527990851512998,0,0
2023,10,0.1558861586613343,2031.5448944405289,2.055505044888135,19.03454301075269,,0.0008972554539056974,2023-10-16 11:30:00.000000000,929.8186827956989,0.004918508092892293,1,1
2023,11,0.1386915955704912,1763.370252463049,20.36219212103268,12.271805555555556,,0.0,2023-11-15 23:30:00.000000000,932.1962500000001,0.000285538353272339,0,0
2023,12,0.0732133207108313,1641.0737922237809,57.24187573650348,9.865322580645161,,0.0,2023-12-16 11:30:00.000000000,932.8673387096775,0.00012434904996481196,0,0
2024,1,0.1208804577019095,1956.5648372624855,50.70336295547966,8.480645161290322,,0.0,2024-01-16 11:30:00.000000000,931.603629032258,0.0001925932441942279,0,0
2024,2,0.0461042947113426,2719.917644264592,167.14842304173322,8.680316091954023,,0.0,2024-02-15 11:30:00.000000256,929.6475574712643,0.01878735045742428,0,0
2024,3,0.2038304847173444,3245.044080752978,67.69315420421866,10.367069892473118,,0.2783110485573531,2024-03-16 11:30:00.000000000,928.5435483870968,0.22200709007740968,1,1
2024,4,0.1602543104825834,2561.3440042223715,23.378697181311672,14.063472222222224,,0.0340921885995776,2024-04-15 23:30:00.000000000,929.5672222222222,0.03153545038705118,1,1
2024,5,0.1428425124227174,1925.1502797325757,5.1382395148893725,18.615188172043013,,0.0072730471498944,2024-05-16 11:30:00.000000000,927.634005376344,0.008307037297677651,1,1
2024,6,0.1335649702816221,1672.591588669946,1.6667015513909778,25.715555555555557,,0.0152427867698803,2024-06-15 23:30:00.000000000,927.4822222222222,0.011311681914144923,1,1
2024,7,0.1180085247586249,1633.5977295918326,0.0,30.831720430107527,,0.0062790288529204,2024-07-16 11:30:00.000000000,930.6470430107527,0.00419292751583387,1,1
2024,8,0.1276216206882659,1608.569879486273,3.1704107667110293,27.66989247311828,,0.0008972554539056974,2024-08-16 11:30:00.000000000,931.3418010752689,0.0008513546798029534,1,0
2024,9,0.1239816391946748,1598.447865059812,4.624889144753981,25.16361111111111,,0.0006720619282195616,2024-09-15 23:30:00.000000000,928.3511111111112,0.0013127375087966112,1,1
2024,10,0.1252609723225955,1549.207035538349,4.661738400894249,21.594086021505376,,0.0,2024-10-16 11:30:00.000000000,931.2959677419354,7.846586910626295e-05,0,0
2024,11,0.1165652387471831,1545.9077410274404,9.5042004367862,10.730694444444445,,0.0,2024-11-15 23:30:00.000000000,931.1018055555556,0.0,0,0
2024,12,0.1156997823099458,1478.476191942288,12.901947552286972,10.780376344086022,,0.0,2024-12-16 11:30:00.000000000,933.9935483870967,0.000335204081632648,0,0
